epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7396,1.64122,9.46449,0.69316,1.71721,1.55204,0.54397,0.50704,0.49688,0.24818,0,0,0,0,1.93531,9.2852,0.48474,4.9603,1.62364,0.08218,0.00018,0.00018
2,38.5165,1.48203,8.94742,0.67738,1.32667,1.38846,0.70536,0.6338,0.67791,0.3139,0.00501,0.00939,6e-05,1e-05,1.85623,8.99732,0.45791,2.17021,1.63431,0.0633578,0.00035779,0.00035779
3,55.7151,1.34892,8.61236,0.68963,1.16496,1.35498,0.83758,0.79893,0.85797,0.51262,0.0286,0.02817,0.00596,0.00061,1.40928,8.78743,0.45865,1.11126,1.33206,0.044523,0.00052304,0.00052304
4,73.1896,1.43827,8.78375,0.67828,1.17174,1.39373,0.82538,0.82106,0.85304,0.53904,0.00787,0.00469,0.00036,7e-05,1.29318,8.7677,0.46076,1.29447,1.26602,0.0256758,0.00067575,0.00067575
5,90.4429,1.3273,8.60298,0.66165,1.07015,1.33839,0.80811,0.82629,0.87094,0.57824,0.02515,0.01878,0.00431,0.00043,1.17748,8.61436,0.4458,0.94601,1.21016,0.00681592,0.00081592,0.00081592
6,107.594,1.32205,8.44831,0.66871,1.0527,1.31856,0.85159,0.79812,0.88657,0.56895,0.0636,0.04695,0.00616,0.00072,1.2423,8.41739,0.44329,0.8976,1.22185,0.000835,0.000835,0.000835
7,124.671,1.30657,8.16866,0.67644,1.04705,1.32873,0.88967,0.81221,0.90001,0.63115,0.14983,0.07512,0.02667,0.00367,1.01695,8.22725,0.45705,0.78361,1.10694,0.000802,0.000802,0.000802
8,141.72,1.37589,8.61751,0.67629,1.05266,1.34271,0.85254,0.79812,0.87632,0.60951,0.31328,0.13146,0.07892,0.01212,1.06985,8.1101,0.45875,0.89209,1.12048,0.000769,0.000769,0.000769
9,159.689,1.2118,8.24504,0.67014,0.97073,1.27937,0.88353,0.81916,0.89365,0.62978,0.21113,0.10798,0.04609,0.0074,1.02392,8.03662,0.46458,0.80794,1.10329,0.000736,0.000736,0.000736
10,176.421,1.20904,8.29089,0.6761,0.97874,1.28857,0.86737,0.84507,0.90357,0.67026,0.23201,0.0939,0.05973,0.00781,0.98098,8.01726,0.45923,0.75125,1.07581,0.000703,0.000703,0.000703
11,193.264,1.23722,8.1045,0.66627,0.98648,1.27899,0.87044,0.8169,0.90552,0.64769,0.24529,0.0939,0.05858,0.00821,1.00565,7.98909,0.45162,0.77846,1.08276,0.00067,0.00067,0.00067
12,210.197,1.18722,8.01875,0.6708,0.9667,1.2727,0.87035,0.86854,0.92874,0.67889,0.09476,0.04225,0.01293,0.00157,0.97658,8.04741,0.44082,0.73,1.06066,0.000637,0.000637,0.000637
13,227.032,1.17077,7.8331,0.6753,0.94775,1.27813,0.91787,0.83953,0.92131,0.67835,0.04918,0.03286,0.00548,0.00067,0.95394,8.08353,0.43895,0.72463,1.05853,0.000604,0.000604,0.000604
14,243.959,1.20656,8.20605,0.66874,0.94051,1.26427,0.88851,0.87793,0.92024,0.67843,0.10343,0.04695,0.01482,0.00152,0.92384,8.07268,0.43987,0.68855,1.06051,0.000571,0.000571,0.000571
1,45.6859,1.64122,9.46449,0.69316,1.71721,1.55204,0.54397,0.50704,0.49688,0.24818,0,0,0,0,1.93531,9.2852,0.48474,4.9603,1.62364,0.08218,0.00018,0.00018
2,65.0396,1.48203,8.94742,0.67738,1.32667,1.38846,0.70536,0.6338,0.67791,0.3139,0.00501,0.00939,6e-05,1e-05,1.85623,8.99732,0.45791,2.17021,1.63431,0.0633578,0.00035779,0.00035779
3,82.6549,1.34892,8.61236,0.68963,1.16496,1.35498,0.83758,0.79893,0.85797,0.51262,0.0286,0.02817,0.00596,0.00061,1.40928,8.78743,0.45865,1.11126,1.33206,0.044523,0.00052304,0.00052304
4,99.7364,1.43827,8.78375,0.67828,1.17174,1.39373,0.82538,0.82106,0.85304,0.53904,0.00787,0.00469,0.00036,7e-05,1.29318,8.7677,0.46076,1.29447,1.26602,0.0256758,0.00067575,0.00067575
5,118.883,1.3273,8.60298,0.66165,1.07015,1.33839,0.80811,0.82629,0.87094,0.57824,0.02515,0.01878,0.00431,0.00043,1.17748,8.61436,0.4458,0.94601,1.21016,0.00681592,0.00081592,0.00081592
6,138.741,1.32205,8.44831,0.66871,1.0527,1.31856,0.85159,0.79812,0.88657,0.56895,0.0636,0.04695,0.00616,0.00072,1.2423,8.41739,0.44329,0.8976,1.22185,0.000835,0.000835,0.000835
7,157.001,1.30657,8.16866,0.67644,1.04705,1.32873,0.88967,0.81221,0.90001,0.63115,0.14983,0.07512,0.02667,0.00367,1.01695,8.22725,0.45705,0.78361,1.10694,0.000802,0.000802,0.000802
8,185.022,1.37589,8.61751,0.67629,1.05266,1.34271,0.85254,0.79812,0.87632,0.60951,0.31328,0.13146,0.07892,0.01212,1.06985,8.1101,0.45875,0.89209,1.12048,0.000769,0.000769,0.000769
9,204.756,1.2118,8.24504,0.67014,0.97073,1.27937,0.88353,0.81916,0.89365,0.62978,0.21113,0.10798,0.04609,0.0074,1.02392,8.03662,0.46458,0.80794,1.10329,0.000736,0.000736,0.000736
