epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8052,1.63402,9.44683,0.6916,1.70153,1.54845,0.51381,0.51601,0.48754,0.24347,0,0,0,0,1.88131,9.30568,0.48244,4.70452,1.60467,0.08218,0.00018,0.00018
2,29.71,1.45759,8.915,0.67749,1.28548,1.37945,0.75548,0.6385,0.72553,0.33958,0.01236,0.00469,0.00067,7e-05,1.81423,8.94763,0.45811,1.85595,1.60168,0.0633578,0.00035779,0.00035779
3,43.4697,1.36339,8.54251,0.6884,1.14583,1.36947,0.82452,0.79413,0.86577,0.54945,0.05909,0.04695,0.00482,0.00057,1.27151,8.69197,0.45667,0.98431,1.21416,0.044523,0.00052304,0.00052304
4,57.2193,1.46762,8.76908,0.67871,1.16004,1.39339,0.81325,0.77691,0.83076,0.52784,0.06276,0.01878,0.00445,0.00048,1.28187,8.67773,0.45658,1.19101,1.20962,0.0256758,0.00067575,0.00067575
5,71.7926,1.3031,8.56786,0.65899,1.06543,1.30466,0.8852,0.75117,0.87143,0.57651,0.14874,0.06573,0.02844,0.00312,1.19568,8.36249,0.44084,0.93724,1.16619,0.00681592,0.00081592,0.00081592
6,85.4217,1.31318,8.41937,0.66755,1.02954,1.31582,0.91593,0.79812,0.90651,0.60254,0.1197,0.10329,0.01687,0.00353,1.19506,8.23642,0.44272,0.89017,1.2017,0.000835,0.000835,0.000835
7,99.182,1.29687,8.11193,0.67299,1.03462,1.32271,0.93018,0.77934,0.89476,0.60008,0.24582,0.15023,0.05103,0.0096,1.09892,8.07446,0.45558,0.88686,1.16149,0.000802,0.000802,0.000802
8,113.257,1.33655,8.55888,0.67069,1.07147,1.33171,0.84716,0.80671,0.88487,0.62989,0.26641,0.13615,0.08212,0.01428,1.05807,7.89548,0.45963,0.94323,1.10263,0.000769,0.000769,0.000769
9,127.281,1.1865,8.12437,0.66549,0.95792,1.25766,0.91691,0.84507,0.92929,0.6864,0.22338,0.12207,0.05577,0.00707,0.97557,7.88469,0.44858,0.71202,1.06764,0.000736,0.000736,0.000736
10,141.711,1.21398,8.17185,0.6722,0.92705,1.26789,0.9366,0.83221,0.93277,0.68382,0.20629,0.11593,0.05713,0.00724,0.97556,7.7901,0.4433,0.72254,1.04632,0.000703,0.000703,0.000703
11,156.479,1.24452,7.99931,0.66126,0.95768,1.26767,0.8945,0.87574,0.93449,0.67769,0.3133,0.15962,0.11323,0.01321,0.97396,7.6768,0.43688,0.74635,1.03887,0.00067,0.00067,0.00067
12,173.591,1.1796,7.87905,0.66953,0.93233,1.25407,0.93333,0.89671,0.95086,0.70376,0.24258,0.15962,0.09561,0.01451,0.97853,7.68515,0.43116,0.68325,1.04324,0.000637,0.000637,0.000637
13,191.094,1.13675,7.72698,0.67348,0.921,1.24831,0.96057,0.86854,0.93953,0.67833,0.18162,0.13146,0.0568,0.00735,1.05307,7.66589,0.42096,0.70678,1.07901,0.000604,0.000604,0.000604
14,205.075,1.24015,8.06061,0.66544,0.95753,1.26406,0.93934,0.87247,0.93656,0.70275,0.15526,0.11737,0.04998,0.00768,0.92987,7.71402,0.42325,0.66522,1.0365,0.000571,0.000571,0.000571
15,220.548,1.1554,7.71744,0.66685,0.93499,1.24893,0.93511,0.89202,0.94458,0.73081,0.12118,0.06103,0.0381,0.00642,0.89423,7.80102,0.42658,0.61417,1.01706,0.000538,0.000538,0.000538
16,234.911,1.12956,7.8854,0.65143,0.87929,1.23025,0.94441,0.87793,0.94208,0.70878,0.25239,0.10329,0.06294,0.00912,0.9097,7.60387,0.42485,0.62983,1.00602,0.000505,0.000505,0.000505
17,249.644,1.08473,7.62945,0.65535,0.82933,1.18763,0.91269,0.89671,0.9444,0.71417,0.31183,0.16432,0.11185,0.0176,0.89724,7.43373,0.43024,0.61654,0.99842,0.000472,0.000472,0.000472
18,264.705,1.09388,7.55489,0.66234,0.87917,1.20593,0.92395,0.91262,0.95446,0.74013,0.25331,0.19249,0.11079,0.02294,0.83682,7.40613,0.43547,0.5963,0.98178,0.000439,0.000439,0.000439
19,278.973,1.10222,7.58919,0.64567,0.8269,1.21313,0.92347,0.9108,0.95294,0.73807,0.29481,0.19249,0.13001,0.02836,0.82209,7.40209,0.43122,0.58457,0.97895,0.000406,0.000406,0.000406
20,295.152,1.02863,7.30187,0.65977,0.78139,1.17576,0.92743,0.90005,0.94875,0.74485,0.25069,0.19249,0.09535,0.02166,0.81022,7.37607,0.43071,0.56157,0.9651,0.000373,0.000373,0.000373
21,308.54,0.95497,7.58181,0.47035,0.77955,1.08459,0.94571,0.89969,0.94308,0.73191,0.2506,0.20188,0.09139,0.01731,0.79854,7.33962,0.42623,0.56261,0.95405,0.00034,0.00034,0.00034
22,322.403,0.8786,7.55943,0.45857,0.66918,1.03464,0.93377,0.92672,0.94479,0.73807,0.31263,0.22066,0.1255,0.03012,0.81234,7.18968,0.41129,0.59239,0.95688,0.000307,0.000307,0.000307
23,337.079,0.89362,7.385,0.44434,0.66096,1.07635,0.90927,0.82629,0.92584,0.72267,0.42963,0.25352,0.17403,0.03882,0.82347,7.10528,0.39561,0.6308,0.96129,0.000274,0.000274,0.000274
24,350.936,0.90649,7.32344,0.43926,0.65715,1.08267,0.92481,0.84507,0.9286,0.73297,0.34325,0.21596,0.09636,0.01841,0.78543,7.15564,0.39348,0.6244,0.9559,0.000241,0.000241,0.000241
25,366.563,0.84431,7.26413,0.4357,0.62694,1.05488,0.93549,0.88502,0.93978,0.74482,0.27004,0.19249,0.0668,0.01253,0.76261,7.14101,0.39618,0.57839,0.95183,0.000208,0.000208,0.000208
26,381.106,0.85738,7.16896,0.42787,0.6224,1.04892,0.92488,0.92019,0.94655,0.74785,0.2532,0.19249,0.0747,0.0159,0.7553,7.10798,0.39689,0.5372,0.94758,0.000175,0.000175,0.000175
27,394.71,0.81869,7.19356,0.43064,0.60906,1.0397,0.94707,0.92488,0.94776,0.75546,0.22967,0.18618,0.10341,0.01861,0.75997,7.15904,0.39504,0.52908,0.95039,0.000142,0.000142,0.000142
28,408.276,0.81957,7.13624,0.42459,0.62377,1.04131,0.94186,0.92958,0.95573,0.76799,0.21363,0.15962,0.0766,0.01415,0.74275,7.19797,0.38936,0.51514,0.94467,0.000109,0.000109,0.000109
29,422.382,0.79972,7.19975,0.42181,0.57764,1.03296,0.94331,0.92958,0.9584,0.77765,0.21546,0.15023,0.07794,0.01545,0.72937,7.20433,0.38661,0.50928,0.93721,7.6e-05,7.6e-05,7.6e-05
30,436.333,0.80708,7.01932,0.42686,0.58566,1.02785,0.95192,0.92957,0.95976,0.78086,0.21209,0.14554,0.07147,0.01432,0.71689,7.20717,0.38485,0.50194,0.93176,4.3e-05,4.3e-05,4.3e-05
